number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
57,0.20557070076465606,2025-09-12 11:30:42.601947,2025-09-12 11:30:43.378601,0 days 00:00:00.776654,128,0.11409461276579477,1,0.001424481205702057,112,COMPLETE
58,0.1871371775865555,2025-09-12 11:30:43.378686,2025-09-12 11:30:44.145423,0 days 00:00:00.766737,128,0.2180091090840496,1,0.0005422447369421198,96,COMPLETE
59,0.19122239649295808,2025-09-12 11:30:44.145516,2025-09-12 11:30:45.015058,0 days 00:00:00.869542,112,0.03838165041836672,2,0.00027378983103932327,96,COMPLETE
60,0.18167116343975068,2025-09-12 11:30:45.015131,2025-09-12 11:30:45.762949,0 days 00:00:00.747818,96,0.07929147369003238,1,0.0004512085958927732,80,COMPLETE
61,0.19873514175415039,2025-09-12 11:30:45.763039,2025-09-12 11:30:46.654991,0 days 00:00:00.891952,112,0.205987797215986,2,0.00037080835694624104,112,COMPLETE
62,0.2017001211643219,2025-09-12 11:30:46.655080,2025-09-12 11:30:47.575372,0 days 00:00:00.920292,128,0.18573190987868068,2,0.00027971281270635463,128,COMPLETE
63,0.1986580789089203,2025-09-12 11:30:47.575460,2025-09-12 11:30:48.361093,0 days 00:00:00.785633,112,0.21090212951287068,1,0.000865786037257111,112,COMPLETE
64,0.18525374233722686,2025-09-12 11:30:48.361186,2025-09-12 11:30:49.685367,0 days 00:00:01.324181,80,0.16242010550113534,6,0.00014110327148648768,112,COMPLETE
65,0.1771312266588211,2025-09-12 11:30:49.685457,2025-09-12 11:30:50.478514,0 days 00:00:00.793057,128,0.24142412541251707,1,0.0006166874728865002,128,COMPLETE
66,0.20274887084960938,2025-09-12 11:30:50.478596,2025-09-12 11:30:51.247075,0 days 00:00:00.768479,128,0.24392096918772202,1,0.001184689851407081,112,COMPLETE
67,0.17116689831018447,2025-09-12 11:30:51.247165,2025-09-12 11:30:52.032487,0 days 00:00:00.785322,128,0.23847823283765546,1,0.0006288016570896213,128,COMPLETE
68,0.1870516151189804,2025-09-12 11:30:52.032574,2025-09-12 11:30:52.820192,0 days 00:00:00.787618,128,0.23423478411588539,1,0.0006788365435739527,128,COMPLETE
69,0.1832383692264557,2025-09-12 11:30:52.820281,2025-09-12 11:30:53.732998,0 days 00:00:00.912717,128,0.2574114135428103,2,0.002137434800632612,128,COMPLETE
70,0.1833377003669739,2025-09-12 11:30:53.733079,2025-09-12 11:30:54.521950,0 days 00:00:00.788871,128,0.23715397185349946,1,0.0004889702505974287,128,COMPLETE
71,0.1759127825498581,2025-09-12 11:30:54.522042,2025-09-12 11:30:55.413623,0 days 00:00:00.891581,112,0.21949078847031983,2,0.0005980450340180073,112,COMPLETE
72,0.17484692633152008,2025-09-12 11:30:55.413713,2025-09-12 11:30:56.328922,0 days 00:00:00.915209,96,0.21395775725349783,2,0.0005919018489849979,128,COMPLETE
73,0.19026474952697753,2025-09-12 11:30:56.329010,2025-09-12 11:30:57.219729,0 days 00:00:00.890719,96,0.22463118154538242,2,0.0008536656416142114,112,COMPLETE
74,0.19889694154262544,2025-09-12 11:30:57.219821,2025-09-12 11:30:58.136696,0 days 00:00:00.916875,112,0.21629521585485972,2,0.00042287510918857807,128,COMPLETE
75,0.1897146224975586,2025-09-12 11:30:58.136774,2025-09-12 11:30:59.035330,0 days 00:00:00.898556,96,0.2540803181672368,2,0.0005429912345727895,112,COMPLETE
76,0.18614157140254975,2025-09-12 11:30:59.035413,2025-09-12 11:30:59.823341,0 days 00:00:00.787928,112,0.2821994173824749,1,0.0007818897726805592,128,COMPLETE
77,0.19774666726589202,2025-09-12 11:30:59.823427,2025-09-12 11:31:00.701143,0 days 00:00:00.877716,112,0.18569058660196305,2,0.0013524556527266599,96,COMPLETE
78,0.17222883701324462,2025-09-12 11:31:00.701235,2025-09-12 11:31:01.609927,0 days 00:00:00.908692,96,0.2632444324941972,2,0.00021054266970059793,128,COMPLETE
79,0.1758813053369522,2025-09-12 11:31:01.610017,2025-09-12 11:31:02.517335,0 days 00:00:00.907318,64,0.26665154358267334,2,0.00021804702203385466,128,COMPLETE
80,0.16272424459457396,2025-09-12 11:31:02.517424,2025-09-12 11:31:03.430943,0 days 00:00:00.913519,64,0.2625489530950779,2,0.00017236953768816416,128,COMPLETE
81,0.17650626599788666,2025-09-12 11:31:03.431035,2025-09-12 11:31:04.365074,0 days 00:00:00.934039,64,0.26974587674554323,2,0.00016541777375010138,128,COMPLETE
82,0.216469007730484,2025-09-12 11:31:04.365168,2025-09-12 11:31:05.278500,0 days 00:00:00.913332,80,0.28546790994167076,2,0.00011633063130620713,128,COMPLETE
83,0.25170143842697146,2025-09-12 11:31:05.278588,2025-09-12 11:31:06.187221,0 days 00:00:00.908633,64,0.26401137460879,2,7.80927602746455e-05,128,COMPLETE
84,0.20387038886547088,2025-09-12 11:31:06.187307,2025-09-12 11:31:07.213458,0 days 00:00:01.026151,48,0.2473443611503128,3,0.00018460435614038457,128,COMPLETE
85,0.18985180854797362,2025-09-12 11:31:07.213537,2025-09-12 11:31:08.133151,0 days 00:00:00.919614,64,0.22769716126792375,2,0.00022569033647773547,128,COMPLETE
