number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
48,0.24835148453712463,2025-09-04 18:52:56.118856,2025-09-04 18:52:57.308030,0 days 00:00:01.189174,80,0.028987737079923477,3,2.9814867048102992e-05,128,COMPLETE
49,0.2333160310983658,2025-09-04 18:52:57.308112,2025-09-04 18:52:58.102923,0 days 00:00:00.794811,64,0.05456963319962312,1,3.5654632374359706e-05,128,COMPLETE
50,0.20270430743694307,2025-09-04 18:52:58.103016,2025-09-04 18:52:59.133469,0 days 00:00:01.030453,48,0.11190887884560284,3,0.0001375072622295759,112,COMPLETE
51,0.1853519231081009,2025-09-04 18:52:59.133555,2025-09-04 18:52:59.919484,0 days 00:00:00.785929,48,0.04096401831918254,1,0.00022052191368254103,112,COMPLETE
52,0.19686948955059053,2025-09-04 18:52:59.919582,2025-09-04 18:53:00.724115,0 days 00:00:00.804533,48,0.06570407881119425,1,8.60360049357276e-05,128,COMPLETE
53,0.1896347999572754,2025-09-04 18:53:00.724212,2025-09-04 18:53:01.646014,0 days 00:00:00.921802,64,0.08537828743610162,2,0.00021277909929086981,112,COMPLETE
54,0.1811142534017563,2025-09-04 18:53:01.646109,2025-09-04 18:53:02.625762,0 days 00:00:00.979653,48,0.0337864273937543,2,0.00015266634252369526,128,COMPLETE
55,0.1884365677833557,2025-09-04 18:53:02.625852,2025-09-04 18:53:04.300074,0 days 00:00:01.674222,32,0.017980241657289377,2,4.157465570746486e-05,128,COMPLETE
56,0.23094876408576964,2025-09-04 18:53:04.300157,2025-09-04 18:53:04.916301,0 days 00:00:00.616144,64,0.03398989468518546,1,0.00013396645298450712,32,COMPLETE
57,0.2120883822441101,2025-09-04 18:53:04.916405,2025-09-04 18:53:06.088343,0 days 00:00:01.171938,48,0.061425686250381965,4,0.00032911522333544237,128,COMPLETE
58,0.1958446055650711,2025-09-04 18:53:06.088439,2025-09-04 18:53:07.083025,0 days 00:00:00.994586,80,0.08655599295418513,2,0.00015253314305937028,128,COMPLETE
59,0.7929799079895019,2025-09-04 18:53:07.083122,2025-09-04 18:53:07.846548,0 days 00:00:00.763426,48,0.013320231588932446,3,1.383635827543312e-05,16,COMPLETE
60,0.19108637571334838,2025-09-04 18:53:07.846640,2025-09-04 18:53:10.014439,0 days 00:00:02.167799,16,0.06892349176024183,1,4.994872456251815e-05,128,COMPLETE
61,0.1759394347667694,2025-09-04 18:53:10.014569,2025-09-04 18:53:10.804672,0 days 00:00:00.790103,48,0.04075367695779332,1,7.60509907858082e-05,112,COMPLETE
62,0.17873770892620086,2025-09-04 18:53:10.804757,2025-09-04 18:53:11.645470,0 days 00:00:00.840713,48,0.05270810652836169,1,7.454443346939746e-05,112,COMPLETE
63,0.19339735209941863,2025-09-04 18:53:11.645560,2025-09-04 18:53:12.449742,0 days 00:00:00.804182,64,0.05055946651189409,1,7.444203525968242e-05,112,COMPLETE
64,0.18215865194797515,2025-09-04 18:53:12.449852,2025-09-04 18:53:13.901367,0 days 00:00:01.451515,32,0.037846045697070396,1,0.00011613258069305738,96,COMPLETE
65,0.1851924866437912,2025-09-04 18:53:13.901454,2025-09-04 18:53:14.840387,0 days 00:00:00.938933,48,0.023719529171581568,2,6.953564124425572e-05,128,COMPLETE
66,0.18625429570674895,2025-09-04 18:53:14.840479,2025-09-04 18:53:15.733887,0 days 00:00:00.893408,48,4.856593012723953e-05,2,0.00010928262456218364,96,COMPLETE
67,0.19380353391170502,2025-09-04 18:53:15.733984,2025-09-04 18:53:16.467957,0 days 00:00:00.733973,64,0.057411099415038955,1,0.00017231766531411978,48,COMPLETE
68,0.18324569165706633,2025-09-04 18:53:16.468053,2025-09-04 18:53:17.981066,0 days 00:00:01.513013,32,0.04624367640314264,1,5.095785402248135e-05,128,COMPLETE
69,0.19650433361530303,2025-09-04 18:53:17.981247,2025-09-04 18:53:18.885350,0 days 00:00:00.904103,48,0.07317685396332746,2,8.148550389740875e-05,96,COMPLETE
70,0.18105160892009736,2025-09-04 18:53:18.885447,2025-09-04 18:53:19.676146,0 days 00:00:00.790699,80,0.03335416151157438,1,6.22196382028928e-05,112,COMPLETE
71,0.1848660260438919,2025-09-04 18:53:19.676240,2025-09-04 18:53:20.463532,0 days 00:00:00.787292,80,0.03210018069806113,1,6.374506183909669e-05,112,COMPLETE
72,0.2401906043291092,2025-09-04 18:53:20.463626,2025-09-04 18:53:21.252469,0 days 00:00:00.788843,80,0.046523073249599346,1,3.474063517544741e-05,112,COMPLETE
73,0.19141520261764527,2025-09-04 18:53:21.252567,2025-09-04 18:53:22.068819,0 days 00:00:00.816252,96,0.014366283082618527,1,4.569548640665567e-05,128,COMPLETE
74,0.1965385138988495,2025-09-04 18:53:22.068910,2025-09-04 18:53:22.994266,0 days 00:00:00.925356,64,0.020453044972293187,2,9.82725650803546e-05,112,COMPLETE
75,0.17703957259654998,2025-09-04 18:53:22.994351,2025-09-04 18:53:23.795617,0 days 00:00:00.801266,48,0.035998773157782604,1,0.00012686136428326905,112,COMPLETE
76,0.22048159539699555,2025-09-04 18:53:23.795710,2025-09-04 18:53:24.611080,0 days 00:00:00.815370,96,0.06058238036325467,1,5.881902968495619e-05,96,COMPLETE
77,0.1978156179189682,2025-09-04 18:53:24.611167,2025-09-04 18:53:25.408635,0 days 00:00:00.797468,112,0.09061183667552374,1,0.00011171426209917768,112,COMPLETE
78,0.1971444934606552,2025-09-04 18:53:25.408728,2025-09-04 18:53:26.199189,0 days 00:00:00.790461,48,0.055141005598093526,1,0.0002652994420349288,112,COMPLETE
79,0.18151789009571076,2025-09-04 18:53:26.199295,2025-09-04 18:53:26.966832,0 days 00:00:00.767537,64,0.11199151778515148,1,0.00012841322336880635,96,COMPLETE
80,0.26814408898353576,2025-09-04 18:53:26.966925,2025-09-04 18:53:28.657252,0 days 00:00:01.690327,32,0.071502849693651,2,1.9500115073065754e-05,112,COMPLETE
81,0.1862340122461319,2025-09-04 18:53:28.657350,2025-09-04 18:53:29.513514,0 days 00:00:00.856164,48,0.032383499379225626,1,0.0001593946416245725,128,COMPLETE
82,0.1886317253112793,2025-09-04 18:53:29.513620,2025-09-04 18:53:30.457776,0 days 00:00:00.944156,48,0.0436586158963318,2,0.0001939166878826652,128,COMPLETE
83,0.1804492473602295,2025-09-04 18:53:30.457870,2025-09-04 18:53:31.252332,0 days 00:00:00.794462,48,0.027034855537280578,1,7.814822569110796e-05,112,COMPLETE
84,0.18084050416946412,2025-09-04 18:53:31.252438,2025-09-04 18:53:32.035221,0 days 00:00:00.782783,48,0.009125194969639455,1,7.951822372388436e-05,112,COMPLETE
85,0.1853053480386734,2025-09-04 18:53:32.035312,2025-09-04 18:53:32.818963,0 days 00:00:00.783651,80,0.008916140448220103,1,7.675416296431461e-05,112,COMPLETE
86,0.22306470572948456,2025-09-04 18:53:32.819053,2025-09-04 18:53:33.622739,0 days 00:00:00.803686,48,0.024551444727431603,1,3.9686644184553484e-05,112,COMPLETE
87,0.18683503568172455,2025-09-04 18:53:33.622830,2025-09-04 18:53:35.119867,0 days 00:00:01.497037,32,0.0008197229168380102,1,7.744968409397648e-05,112,COMPLETE
88,0.1761296957731247,2025-09-04 18:53:35.119959,2025-09-04 18:53:35.887927,0 days 00:00:00.767968,64,0.015748502203430794,1,9.702751812091464e-05,96,COMPLETE
89,0.18812650740146636,2025-09-04 18:53:35.888020,2025-09-04 18:53:36.654473,0 days 00:00:00.766453,64,0.011408346884013917,1,9.423646550354662e-05,96,COMPLETE
90,0.18791876435279847,2025-09-04 18:53:36.654565,2025-09-04 18:53:37.555485,0 days 00:00:00.900920,64,0.021016223977751138,2,0.00010580848416480074,96,COMPLETE
91,0.18836160898208618,2025-09-04 18:53:37.555577,2025-09-04 18:53:38.349341,0 days 00:00:00.793764,48,0.0354830872544587,1,5.88000751793508e-05,112,COMPLETE
92,0.19150413572788239,2025-09-04 18:53:38.349441,2025-09-04 18:53:39.147695,0 days 00:00:00.798254,80,0.02897249825934212,1,6.561362191051127e-05,112,COMPLETE
93,0.19706709086894988,2025-09-04 18:53:39.147783,2025-09-04 18:53:39.942959,0 days 00:00:00.795176,64,0.04122780575160864,1,8.593582294115063e-05,112,COMPLETE
94,0.20974445044994355,2025-09-04 18:53:39.943045,2025-09-04 18:53:40.744491,0 days 00:00:00.801446,48,0.04985733727593689,1,5.1705861734418645e-05,112,COMPLETE
95,0.17780046164989471,2025-09-04 18:53:40.744581,2025-09-04 18:53:41.539717,0 days 00:00:00.795136,48,0.016468256609077886,1,0.00012453412120221597,112,COMPLETE
96,0.1934542715549469,2025-09-04 18:53:41.539800,2025-09-04 18:53:42.309200,0 days 00:00:00.769400,48,0.00525284838117171,1,0.00012529602052565605,96,COMPLETE
97,0.190971976518631,2025-09-04 18:53:42.309296,2025-09-04 18:53:43.119763,0 days 00:00:00.810467,48,0.017561008990260724,1,0.00023689638566235663,112,COMPLETE
98,0.19048715829849244,2025-09-04 18:53:43.119853,2025-09-04 18:53:44.191770,0 days 00:00:01.071917,48,0.015178705062849348,3,9.385072592975289e-05,128,COMPLETE
99,0.18749848008155823,2025-09-04 18:53:44.191853,2025-09-04 18:53:45.105638,0 days 00:00:00.913785,64,0.0398468677428503,2,0.00015108575811057542,96,COMPLETE
